IP,Status,Time
10.0.0.245,down,2025-06-15 20:50:32.592462
10.0.0.246,down,2025-06-15 20:50:32.593015
10.0.0.247,down,2025-06-15 20:50:32.593514
10.0.0.248,down,2025-06-15 20:50:32.593964
10.0.0.249,down,2025-06-15 20:50:32.594393
10.0.0.250,down,2025-06-15 20:50:32.594818
10.0.0.251,down,2025-06-15 20:50:32.595282
10.0.0.252,down,2025-06-15 20:50:32.595748
10.0.0.253,down,2025-06-15 20:50:32.596173
10.0.0.254,down,2025-06-15 20:50:32.596617
